"Time";"13-0";"Time";"17-0";
"Time";"0D - Vehicle Speed";"Time";"11 - Absolute Throttle Position";
"Time";"km/h";"Time";"%";
"11:56:38.707";"48";"11:56:38.783";"19,2178";
"11:56:39.314";"49";"11:56:39.089";"20,0022";
"11:56:40.667";"49";"11:56:41.038";"14,9036";
"11:56:40.966";"48";"11:56:41.190";"14,9036";
"11:56:41.567";"48";"11:56:41.642";"14,9036";
"11:56:41.866";"48";"11:56:42.705";"14,9036";
"11:56:42.631";"47";"11:56:43.303";"14,9036";
"11:56:42.932";"47";"11:56:44.527";"14,9036";
"11:56:43.080";"47";"11:56:44.679";"14,9036";
"11:56:43.379";"46";"11:56:45.441";"14,9036";
"11:56:44.453";"44";"11:56:45.741";"14,9036";
"11:56:45.062";"44";"11:56:46.191";"14,5114";
"11:56:46.417";"40";"11:56:46.492";"14,5114";
"11:56:48.080";"37";"11:56:46.643";"14,5114";
"11:56:51.851";"33";"11:56:47.091";"14,5114";
"11:56:52.151";"33";"11:56:47.399";"14,5114";
"11:56:53.061";"31";"11:56:47.851";"14,5114";
"11:56:53.819";"30";"11:56:49.654";"14,5114";
"11:56:54.119";"30";"11:56:49.811";"14,5114";
"11:56:54.270";"29";"11:56:49.960";"14,5114";
