Time;13-0;Time;17-0
Time;0D - Vehicle Speed;Time;11 - Absolute Throttle Position
Time;km/h;Time;%
0.577;9;0.501;22.7476
0.877;12;1.106;28.6306
2.079;21;2.452;27.454
2.23;22;2.901;27.454
2.979;26;4.107;29.0228
4.778;34;4.258;29.0228
5.69;37;4.406;29.0228
5.84;38;5.31;28.6306
6.139;39;7.418;25.493
6.29;39;8.021;23.9242
6.893;41;8.919;23.9242
7.042;42;9.07;23.9242
10.792;49;10.411;22.3554
10.941;50;11.921;21.1788
12.16;50;14.34;14.9036
12.309;50;14.79;14.5114
13.357;51;15.847;14.9036
13.811;51;16.296;14.9036
13.961;51;16.597;15.2958
14.567;41;16.748;14.9036
15.319;25;16.9;14.9036
