Monitoramento e Diagnóstico - ECU v2.0

Data: 04/06/2016
Hora: 11:43

Versão da aplicação: 2.6.5.0
Firmware Gerenciamento: 1.5.5
Firmware Sincronismo: 1.2.8
Firmware Comunicação: 1.3.1

Ensaio para identificação do sistema 'veículo+ECUv2'
Entrada u(t): Ref de Torque (pedal)
Saída y(t): Velocidade (km/h)
Taxa de amostragem (ms): 100
Tempo de medição (s): 40
Instante do degrau (s): 5
Amplitude do degrau: 30
Marcha Engatada: 2
Modo de operação: Normal
Temperatura do Motor: 87,69ºC

t0_Aquisicao(ms); tf_Aquisicao(ms); RefTorque; Veloc(km/h); RefTorque (ECU); Rotacao; RefVB; VB; MAP(kPa); Tinj(ms);

24; 42; 0,00; 14; 0,00; 1035; 550; 551; 25,72; 3,70;
124; 138; 0,00; 14; 0,00; 1034; 550; 552; 24,37; 3,70;
224; 243; 0,00; 14; 0,00; 1034; 550; 551; 25,75; 3,73;
324; 339; 0,00; 14; 0,00; 1037; 550; 552; 24,73; 3,72;
424; 435; 0,00; 14; 0,00; 1040; 550; 552; 25,39; 3,72;
524; 531; 0,00; 14; 0,00; 1036; 550; 550; 24,87; 3,71;
624; 642; 0,00; 14; 0,00; 1036; 550; 551; 24,73; 3,68;
724; 738; 0,00; 14; 0,00; 1039; 550; 552; 25,83; 3,68;
824; 834; 0,00; 14; 0,00; 1031; 550; 552; 24,26; 3,68;
924; 930; 0,00; 14; 0,00; 1030; 550; 552; 25,67; 3,71;
1024; 1042; 0,00; 14; 0,00; 1034; 550; 549; 24,73; 3,70;
1125; 1138; 0,00; 14; 0,00; 1030; 550; 552; 25,39; 3,73;
1224; 1234; 0,00; 14; 0,00; 1039; 550; 551; 24,95; 3,71;
1324; 1330; 0,00; 14; 0,00; 1029; 550; 549; 24,51; 3,73;
1424; 1442; 0,00; 14; 0,00; 1029; 550; 555; 25,75; 3,74;
1524; 1538; 0,00; 14; 0,00; 1029; 550; 552; 24,76; 3,72;
1624; 1634; 0,00; 14; 0,00; 1034; 550; 552; 26,36; 3,72;
1724; 1730; 0,00; 14; 0,00; 1024; 550; 551; 25,09; 3,73;
1824; 1842; 0,00; 14; 0,00; 1037; 550; 551; 25,03; 3,74;
1924; 1938; 0,00; 14; 0,00; 1032; 550; 551; 26,00; 3,72;
2024; 2034; 0,00; 14; 0,00; 1035; 550; 551; 24,54; 3,74;
2124; 2130; 0,00; 14; 0,00; 1035; 550; 551; 25,97; 3,70;
2224; 2242; 0,00; 14; 0,00; 1028; 550; 552; 24,87; 3,73;
2324; 2338; 0,00; 14; 0,00; 1037; 550; 551; 26,25; 3,71;
2424; 2434; 0,00; 14; 0,00; 1031; 550; 551; 25,01; 3,70;
2524; 2530; 0,00; 14; 0,00; 1029; 550; 551; 25,01; 3,69;
2624; 2642; 0,00; 14; 0,00; 1033; 550; 552; 25,89; 3,72;
2724; 2738; 0,00; 14; 0,00; 1037; 550; 554; 24,37; 3,68;
2824; 2834; 0,00; 14; 0,00; 1034; 550; 551; 25,95; 3,72;
2924; 2942; 0,00; 14; 0,00; 1042; 550; 554; 24,70; 3,73;
3024; 3038; 0,00; 14; 0,00; 1030; 550; 551; 26,19; 3,70;
3124; 3134; 0,00; 14; 0,00; 1033; 550; 551; 24,87; 3,73;
3224; 3229; 0,00; 14; 0,00; 1030; 550; 551; 24,92; 3,70;
3325; 3342; 0,00; 14; 0,00; 1034; 550; 551; 25,72; 3,69;
3424; 3438; 0,00; 14; 0,00; 1033; 550; 550; 24,40; 3,71;
3524; 3533; 0,00; 14; 0,00; 1041; 550; 551; 25,81; 3,71;
3624; 3630; 0,00; 14; 0,00; 1035; 550; 552; 24,65; 3,70;
3724; 3741; 0,00; 14; 0,00; 1035; 550; 551; 26,17; 3,71;
3824; 3837; 0,00; 14; 0,00; 1038; 550; 551; 24,73; 3,71;
3924; 3933; 0,00; 14; 0,00; 1034; 550; 551; 24,87; 3,71;
4024; 4042; 0,00; 14; 0,00; 1038; 550; 549; 25,34; 3,71;
4124; 4138; 0,00; 14; 0,00; 1033; 550; 552; 24,34; 3,71;
4224; 4242; 0,00; 14; 0,00; 1040; 550; 551; 25,48; 3,71;
4324; 4338; 0,00; 14; 0,00; 1036; 550; 551; 24,26; 3,73;
4424; 4434; 0,00; 14; 0,00; 1035; 550; 552; 25,70; 3,71;
4524; 4530; 0,00; 14; 0,00; 1032; 550; 551; 24,62; 3,70;
4624; 4642; 0,00; 14; 0,00; 1034; 550; 551; 25,14; 3,71;
4724; 4738; 0,00; 14; 0,00; 1035; 550; 552; 24,92; 3,70;
4824; 4834; 0,00; 14; 0,00; 1030; 550; 549; 24,43; 3,73;
4924; 4930; 0,00; 14; 0,00; 1039; 550; 552; 25,61; 3,72;
5024; 5042; 30,00; 14; 0,00; 1031; 550; 552; 24,26; 3,73;
5124; 5138; 30,00; 14; 29,80; 1031; 633; 592; 26,39; 4,16;
5224; 5234; 30,00; 14; 29,80; 1044; 716; 645; 31,06; 4,94;
5324; 5330; 30,00; 14; 29,80; 1061; 799; 695; 39,95; 6,26;
5424; 5442; 30,00; 14; 29,80; 1111; 832; 792; 50,90; 7,02;
5524; 5538; 30,00; 14; 29,80; 1152; 832; 795; 60,54; 9,28;
5624; 5634; 30,00; 15; 29,80; 1238; 832; 811; 64,27; 9,88;
5724; 5730; 30,00; 17; 29,80; 1376; 832; 822; 64,63; 10,19;
5824; 5842; 30,00; 18; 29,80; 1468; 832; 828; 63,27; 10,10;
5924; 5938; 30,00; 21; 29,80; 1598; 832; 831; 61,31; 9,96;
6024; 6034; 30,00; 22; 29,80; 1680; 832; 830; 62,17; 9,62;
6125; 6145; 30,00; 25; 29,80; 1786; 832; 830; 59,74; 9,40;
6224; 6243; 30,00; 26; 29,80; 1885; 832; 833; 58,00; 9,05;
6324; 6339; 30,00; 27; 29,80; 1994; 832; 830; 53,80; 8,69;
6425; 6436; 30,00; 29; 29,80; 2070; 832; 832; 51,97; 8,26;
6524; 6531; 30,00; 30; 29,80; 2139; 832; 831; 49,35; 7,92;
6624; 6643; 30,00; 30; 29,80; 2218; 832; 832; 47,77; 7,63;
6724; 6739; 30,00; 33; 29,80; 2304; 832; 833; 46,83; 7,35;
6824; 6842; 30,00; 33; 29,80; 2367; 832; 833; 47,17; 7,16;
6924; 6938; 30,00; 34; 29,80; 2435; 832; 836; 46,09; 7,11;
7024; 7034; 30,00; 35; 29,80; 2497; 832; 834; 44,04; 7,06;
7124; 7130; 30,00; 37; 29,80; 2551; 832; 831; 42,97; 6,92;
7224; 7243; 30,00; 37; 29,80; 2610; 832; 833; 42,08; 6,79;
7324; 7343; 30,00; 38; 29,80; 2666; 832; 831; 42,39; 6,69;
7424; 7443; 30,00; 38; 29,80; 2710; 832; 833; 41,72; 6,57;
7524; 7539; 30,00; 39; 29,80; 2770; 832; 834; 39,87; 6,47;
7624; 7635; 30,00; 41; 29,80; 2816; 832; 833; 38,88; 6,39;
7725; 7731; 30,00; 41; 29,80; 2859; 832; 835; 39,46; 6,29;
7824; 7843; 30,00; 42; 29,80; 2904; 832; 835; 38,10; 6,21;
7924; 7939; 30,00; 42; 29,80; 2941; 832; 831; 36,72; 6,07;
8025; 8035; 30,00; 42; 29,80; 2985; 832; 830; 35,75; 5,95;
8124; 8131; 30,00; 43; 29,80; 3027; 832; 833; 35,09; 5,85;
8225; 8243; 30,00; 45; 29,80; 3058; 832; 831; 35,20; 5,76;
8325; 8339; 30,00; 45; 29,80; 3095; 832; 832; 36,06; 5,68;
8424; 8445; 30,00; 45; 29,80; 3134; 832; 831; 33,79; 5,63;
8524; 8541; 30,00; 46; 29,80; 3164; 832; 834; 35,45; 5,52;
8625; 8637; 30,00; 46; 29,80; 3198; 832; 833; 32,80; 5,49;
8725; 8733; 30,00; 47; 29,80; 3232; 832; 830; 32,33; 5,42;
8825; 8844; 30,00; 47; 29,80; 3253; 832; 835; 33,21; 5,34;
8925; 8940; 30,00; 47; 29,80; 3282; 832; 833; 33,13; 5,28;
9025; 9036; 30,00; 47; 29,80; 3311; 832; 831; 32,74; 5,21;
9125; 9132; 30,00; 49; 29,80; 3340; 832; 830; 31,36; 5,22;
