Monitoramento e Diagnóstico - ECU v2.0

Data: 04/06/2016
Hora: 11:45

Versão da aplicação: 2.6.5.0
Firmware Gerenciamento: 1.5.5
Firmware Sincronismo: 1.2.8
Firmware Comunicação: 1.3.1

Ensaio para identificação do sistema 'veículo+ECUv2'
Entrada u(t): Ref de Torque (pedal)
Saída y(t): Velocidade (km/h)
Taxa de amostragem (ms): 50
Tempo de medição (s): 30
Instante do degrau (s): 5
Amplitude do degrau: 35
Marcha Engatada: 2
Modo de operação: Normal
Temperatura do Motor: 90,10ºC

t0_Aquisicao(ms); tf_Aquisicao(ms); RefTorque; Veloc(km/h); RefTorque (ECU); Rotacao; RefVB; VB; MAP(kPa); Tinj(ms);

25; 40; 0,00; 13; 0,00; 941; 550; 552; 29,01; 4,05;
75; 88; 0,00; 13; 0,00; 941; 550; 553; 27,82; 4,05;
125; 143; 0,00; 13; 0,00; 947; 550; 552; 29,10; 4,07;
175; 190; 0,00; 13; 0,00; 935; 550; 552; 27,47; 4,06;
225; 238; 0,00; 13; 0,00; 928; 550; 551; 29,15; 4,07;
275; 286; 0,00; 13; 0,00; 940; 550; 551; 27,58; 4,07;
325; 334; 0,00; 13; 0,00; 940; 550; 555; 29,04; 4,06;
375; 382; 0,00; 13; 0,00; 942; 550; 551; 27,77; 4,05;
425; 430; 0,00; 13; 0,00; 929; 550; 552; 28,21; 4,02;
475; 494; 0,00; 13; 0,00; 938; 550; 554; 27,80; 4,02;
525; 542; 0,00; 13; 0,00; 938; 550; 551; 28,13; 4,03;
575; 590; 0,00; 13; 0,00; 937; 550; 551; 28,76; 4,03;
625; 638; 0,00; 13; 0,00; 938; 550; 550; 27,80; 4,02;
675; 686; 0,00; 13; 0,00; 936; 550; 549; 29,04; 4,01;
725; 734; 0,00; 13; 0,00; 936; 550; 551; 27,35; 4,01;
775; 792; 0,00; 13; 0,00; 936; 550; 553; 29,10; 4,03;
825; 840; 0,00; 13; 0,00; 940; 550; 550; 27,49; 4,02;
