Monitoramento e Diagnóstico - ECU v2.0

Data: 04/06/2016
Hora: 11:54

Versão da aplicação: 2.6.5.0
Firmware Gerenciamento: 1.5.5
Firmware Sincronismo: 1.2.8
Firmware Comunicação: 1.3.1

Ensaio para identificação do sistema 'veículo+ECUv2'
Entrada u(t): Ref de Torque (pedal)
Saída y(t): Velocidade (km/h)
Taxa de amostragem (ms): 50
Tempo de medição (s): 40
Instante do degrau (s): 5
Amplitude do degrau: 35
Marcha Engatada: 3
Modo de operação: Normal
Temperatura do Motor: 92,64ºC

t0_Aquisicao(ms); tf_Aquisicao(ms); RefTorque; Veloc(km/h); RefTorque (ECU); Rotacao; RefVB; VB; MAP(kPa); Tinj(ms);

21; 41; 0,00; 14; 0,00; 724; 550; 551; 36,42; 5,22;
71; 89; 0,00; 14; 0,00; 720; 550; 551; 37,16; 5,22;
121; 137; 0,00; 14; 0,00; 720; 550; 551; 38,32; 5,24;
171; 185; 0,00; 14; 0,00; 722; 550; 552; 38,27; 5,08;
221; 233; 0,00; 14; 0,00; 722; 550; 551; 37,41; 5,08;
271; 281; 0,00; 13; 0,00; 710; 550; 554; 36,86; 5,09;
321; 329; 0,00; 13; 0,00; 718; 550; 551; 36,89; 5,09;
371; 377; 0,00; 13; 0,00; 718; 550; 551; 37,66; 5,03;
421; 441; 0,00; 13; 0,00; 702; 550; 551; 38,90; 5,03;
471; 489; 0,00; 13; 0,00; 702; 550; 551; 39,01; 5,09;
521; 537; 0,00; 13; 0,00; 711; 550; 552; 38,38; 5,02;
571; 585; 0,00; 13; 0,00; 711; 550; 551; 37,83; 5,02;
621; 633; 0,00; 13; 0,00; 702; 550; 552; 37,41; 5,03;
671; 681; 0,00; 13; 0,00; 702; 550; 551; 37,55; 5,03;
721; 729; 0,00; 13; 0,00; 702; 550; 551; 38,41; 5,12;
771; 777; 0,00; 13; 0,00; 699; 550; 552; 39,62; 5,12;
821; 841; 0,00; 13; 0,00; 699; 550; 552; 39,84; 5,40;
871; 889; 0,00; 13; 0,00; 698; 550; 553; 39,43; 5,45;
921; 937; 0,00; 13; 0,00; 698; 550; 550; 38,88; 5,45;
971; 985; 0,00; 13; 0,00; 695; 550; 552; 38,27; 5,49;
1021; 1033; 0,00; 13; 0,00; 695; 550; 551; 38,10; 5,49;
1086; 1096; 0,00; 13; 0,00; 695; 550; 551; 39,95; 5,42;
1121; 1128; 0,00; 13; 0,00; 691; 550; 552; 39,18; 5,42;
1171; 1176; 0,00; 13; 0,00; 691; 550; 551; 40,17; 5,49;
1221; 1240; 0,00; 13; 0,00; 689; 550; 551; 40,87; 5,49;
1271; 1288; 0,00; 13; 0,00; 689; 550; 550; 40,29; 5,45;
1321; 1336; 0,00; 13; 0,00; 688; 550; 552; 39,40; 5,55;
1371; 1384; 0,00; 13; 0,00; 688; 550; 550; 38,96; 5,55;
1421; 1432; 0,00; 13; 0,00; 688; 550; 549; 38,60; 5,53;
1471; 1480; 0,00; 13; 0,00; 686; 550; 551; 38,63; 5,53;
1521; 1528; 0,00; 13; 0,00; 686; 550; 549; 38,93; 5,58;
1571; 1576; 0,00; 13; 0,00; 687; 550; 553; 39,82; 5,58;
1621; 1640; 0,00; 13; 0,00; 687; 550; 555; 40,56; 5,50;
1671; 1688; 0,00; 13; 0,00; 681; 550; 551; 41,20; 5,50;
1721; 1736; 0,00; 13; 0,00; 681; 550; 552; 40,84; 5,57;
1771; 1784; 0,00; 13; 0,00; 685; 550; 551; 40,09; 5,47;
1822; 1832; 0,00; 13; 0,00; 685; 550; 551; 39,62; 5,47;
1871; 1880; 0,00; 13; 0,00; 681; 550; 550; 39,01; 5,53;
1921; 1928; 0,00; 13; 0,00; 684; 550; 552; 39,07; 5,53;
1971; 1976; 0,00; 13; 0,00; 684; 550; 551; 39,07; 5,59;
2021; 2040; 0,00; 13; 0,00; 677; 550; 555; 39,65; 5,59;
2071; 2088; 0,00; 13; 0,00; 677; 550; 551; 40,98; 5,51;
2121; 2136; 0,00; 13; 0,00; 686; 550; 552; 41,31; 5,51;
2171; 2184; 0,00; 13; 0,00; 686; 550; 551; 41,36; 5,51;
2221; 2232; 0,00; 13; 0,00; 676; 550; 551; 41,00; 5,62;
2271; 2280; 0,00; 13; 0,00; 676; 550; 551; 40,17; 5,62;
2321; 2328; 0,00; 13; 0,00; 687; 550; 549; 39,76; 5,57;
2371; 2376; 0,00; 13; 0,00; 676; 550; 552; 39,46; 5,57;
2421; 2440; 0,00; 13; 0,00; 676; 550; 551; 39,43; 5,62;
2471; 2488; 0,00; 13; 0,00; 683; 550; 552; 39,62; 5,62;
2521; 2536; 0,00; 13; 0,00; 683; 550; 550; 40,09; 5,57;
2571; 2584; 0,00; 13; 0,00; 680; 550; 551; 41,28; 5,57;
2621; 2632; 0,00; 13; 0,00; 680; 550; 551; 41,53; 5,62;
2671; 2680; 0,00; 13; 0,00; 678; 550; 552; 41,81; 5,62;
2721; 2728; 0,00; 13; 0,00; 678; 550; 552; 41,36; 5,63;
2771; 2792; 0,00; 13; 0,00; 680; 550; 552; 40,29; 5,64;
2821; 2840; 0,00; 13; 0,00; 680; 550; 551; 39,90; 5,64;
2871; 2888; 0,00; 13; 0,00; 680; 550; 551; 39,54; 5,64;
2921; 2936; 0,00; 13; 0,00; 678; 550; 552; 39,62; 5,64;
2971; 2984; 0,00; 13; 0,00; 678; 550; 551; 39,51; 5,67;
3021; 3032; 0,00; 13; 0,00; 683; 550; 552; 39,98; 5,67;
3071; 3090; 0,00; 13; 0,00; 683; 550; 551; 41,42; 5,66;
3121; 3140; 0,00; 13; 0,00; 676; 550; 552; 41,58; 5,66;
3171; 3188; 0,00; 13; 0,00; 676; 550; 552; 41,72; 5,67;
3221; 3236; 0,00; 13; 0,00; 683; 550; 550; 41,36; 5,64;
3271; 3284; 0,00; 13; 0,00; 683; 550; 553; 40,53; 5,64;
