Monitoramento e Diagnóstico - ECU v2.0

Data: 04/06/2016
Hora: 11:52

Versão da aplicação: 2.6.5.0
Firmware Gerenciamento: 1.5.5
Firmware Sincronismo: 1.2.8
Firmware Comunicação: 1.3.1

Ensaio para identificação do sistema 'veículo+ECUv2'
Entrada u(t): Ref de Torque (pedal)
Saída y(t): Velocidade (km/h)
Taxa de amostragem (ms): 50
Tempo de medição (s): 40
Instante do degrau (s): 5
Amplitude do degrau: 40
Marcha Engatada: 3
Modo de operação: Normal
Temperatura do Motor: 92,64ºC

t0_Aquisicao(ms); tf_Aquisicao(ms); RefTorque; Veloc(km/h); RefTorque (ECU); Rotacao; RefVB; VB; MAP(kPa); Tinj(ms);

33; 43; 0,00; 13; 0,00; 713; 550; 551; 38,52; 5,17;
83; 90; 0,00; 13; 0,00; 711; 550; 552; 38,07; 5,17;
133; 138; 0,00; 14; 0,00; 711; 550; 552; 38,07; 5,18;
183; 202; 0,00; 14; 0,00; 714; 550; 551; 38,66; 5,18;
233; 250; 0,00; 14; 0,00; 714; 550; 551; 39,62; 5,17;
283; 298; 0,00; 13; 0,00; 710; 550; 551; 39,95; 5,21;
333; 346; 0,00; 13; 0,00; 710; 550; 552; 38,85; 5,21;
383; 394; 0,00; 13; 0,00; 713; 550; 551; 38,32; 5,21;
433; 442; 0,00; 13; 0,00; 708; 550; 551; 38,10; 5,21;
483; 490; 0,00; 13; 0,00; 708; 550; 551; 38,10; 5,16;
533; 538; 0,00; 13; 0,00; 715; 550; 552; 39,84; 5,16;
583; 602; 0,00; 13; 0,00; 715; 550; 548; 40,17; 5,19;
633; 650; 0,00; 14; 0,00; 708; 550; 552; 39,51; 5,16;
683; 698; 0,00; 14; 0,00; 708; 550; 552; 38,71; 5,16;
733; 746; 0,00; 14; 0,00; 713; 550; 555; 37,88; 5,20;
783; 794; 0,00; 13; 0,00; 710; 550; 548; 38,07; 5,20;
833; 842; 0,00; 13; 0,00; 710; 550; 555; 38,93; 5,20;
883; 890; 0,00; 13; 0,00; 711; 550; 555; 39,98; 5,14;
933; 938; 0,00; 13; 0,00; 711; 550; 554; 39,82; 5,14;
984; 1002; 0,00; 13; 0,00; 709; 550; 551; 38,90; 5,10;
1033; 1050; 0,00; 13; 0,00; 709; 550; 555; 38,05; 5,10;
1083; 1098; 0,00; 14; 0,00; 709; 550; 551; 38,05; 5,10;
1133; 1146; 0,00; 14; 0,00; 712; 550; 556; 38,52; 5,10;
1183; 1194; 0,00; 14; 0,00; 712; 550; 551; 39,90; 5,13;
1233; 1242; 0,00; 13; 0,00; 709; 550; 554; 40,34; 5,08;
1283; 1290; 0,00; 13; 0,00; 709; 550; 551; 39,76; 5,08;
1333; 1354; 0,00; 13; 0,00; 714; 550; 551; 38,57; 5,00;
1383; 1402; 0,00; 13; 0,00; 712; 550; 551; 38,10; 5,00;
1433; 1450; 0,00; 13; 0,00; 712; 550; 552; 38,05; 5,04;
1483; 1498; 0,00; 13; 0,00; 713; 550; 552; 38,99; 5,04;
1533; 1546; 0,00; 13; 0,00; 713; 550; 552; 39,84; 4,99;
1583; 1594; 0,00; 14; 0,00; 719; 550; 552; 39,51; 4,97;
1633; 1642; 0,00; 14; 0,00; 719; 550; 552; 38,66; 4,97;
1683; 1690; 0,00; 13; 0,00; 717; 550; 551; 37,80; 4,97;
1733; 1754; 0,00; 13; 0,00; 721; 550; 551; 37,77; 4,97;
1783; 1802; 0,00; 13; 0,00; 721; 550; 555; 38,77; 4,95;
1833; 1850; 0,00; 14; 0,00; 721; 550; 552; 39,76; 5,00;
1883; 1898; 0,00; 14; 0,00; 721; 550; 551; 39,29; 5,00;
1933; 1946; 0,00; 13; 0,00; 726; 550; 551; 38,10; 4,97;
1983; 1994; 0,00; 14; 0,00; 723; 550; 551; 37,55; 4,97;
2033; 2042; 0,00; 14; 0,00; 723; 550; 549; 37,61; 4,92;
2083; 2090; 0,00; 14; 0,00; 732; 550; 551; 39,18; 4,92;
2133; 2154; 0,00; 14; 0,00; 732; 550; 551; 39,51; 4,90;
2183; 2202; 0,00; 14; 0,00; 723; 550; 556; 38,49; 4,92;
2233; 2249; 0,00; 14; 0,00; 723; 550; 552; 37,41; 4,92;
2283; 2297; 0,00; 14; 0,00; 732; 550; 551; 37,22; 4,87;
2333; 2345; 0,00; 14; 0,00; 728; 550; 555; 37,74; 4,87;
2383; 2394; 0,00; 14; 0,00; 728; 550; 552; 39,07; 4,86;
2433; 2441; 0,00; 14; 0,00; 731; 550; 551; 38,54; 4,85;
2483; 2490; 0,00; 14; 0,00; 731; 550; 551; 37,52; 4,85;
2533; 2554; 0,00; 14; 0,00; 728; 550; 551; 36,89; 4,84;
2583; 2601; 0,00; 14; 0,00; 737; 550; 551; 37,30; 4,84;
2633; 2649; 0,00; 14; 0,00; 737; 550; 552; 38,52; 4,86;
2683; 2697; 0,00; 14; 0,00; 726; 550; 551; 38,54; 4,85;
2733; 2745; 0,00; 14; 0,00; 726; 550; 552; 37,30; 4,85;
2783; 2793; 0,00; 14; 0,00; 740; 550; 551; 36,56; 4,79;
2833; 2841; 0,00; 14; 0,00; 727; 550; 551; 36,78; 4,79;
2883; 2889; 0,00; 14; 0,00; 727; 550; 558; 38,57; 4,82;
2933; 2953; 0,00; 14; 0,00; 737; 550; 551; 38,54; 4,82;
2983; 3001; 0,00; 14; 0,00; 737; 550; 551; 37,44; 4,82;
3033; 3049; 0,00; 14; 0,00; 730; 550; 551; 36,78; 4,81;
3083; 3097; 0,00; 14; 0,00; 733; 550; 556; 36,53; 4,81;
3133; 3145; 0,00; 14; 0,00; 733; 550; 555; 38,54; 4,75;
3184; 3193; 0,00; 14; 0,00; 731; 550; 555; 38,77; 4,80;
3233; 3241; 0,00; 14; 0,00; 731; 550; 551; 37,63; 4,80;
3283; 3289; 0,00; 14; 0,00; 737; 550; 552; 36,89; 4,75;
3333; 3353; 0,00; 14; 0,00; 730; 550; 551; 36,58; 4,75;
3383; 3401; 0,00; 14; 0,00; 730; 550; 552; 37,63; 4,79;
