Monitoramento e Diagnóstico - ECU v2.0

Data: 04/06/2016
Hora: 11:27

Versão da aplicação: 2.6.5.0
Firmware Gerenciamento: 1.5.5
Firmware Sincronismo: 1.2.8
Firmware Comunicação: 1.3.1

Ensaio para identificação do sistema 'veículo+ECUv2'
Entrada u(t): Ref de Torque (pedal)
Saída y(t): Velocidade (km/h)
Taxa de amostragem (ms): 100
Tempo de medição (s): 60
Instante do degrau (s): 5
Amplitude do degrau: 35
Marcha Engatada: 3
Modo de operação: Normal
Temperatura do Motor: 90,10ºC

t0_Aquisicao(ms); tf_Aquisicao(ms); RefTorque; Veloc(km/h); RefTorque (ECU); Rotacao; RefVB; VB; MAP(kPa); Tinj(ms);

32; 44; 0,00; 18; 0,00; 941; 550; 552; 27,71; 4,07;
132; 140; 0,00; 18; 0,00; 942; 550; 551; 27,74; 4,08;
232; 252; 0,00; 18; 0,00; 957; 550; 552; 27,91; 4,07;
333; 348; 0,00; 18; 0,00; 945; 550; 550; 28,57; 4,06;
432; 444; 0,00; 18; 0,00; 955; 550; 552; 29,45; 4,06;
532; 540; 0,00; 18; 0,00; 941; 550; 556; 29,23; 4,06;
632; 652; 0,00; 18; 0,00; 942; 550; 556; 28,85; 4,05;
732; 748; 0,00; 18; 0,00; 952; 550; 551; 28,24; 4,04;
832; 844; 0,00; 18; 0,00; 947; 550; 552; 27,91; 4,05;
933; 940; 0,00; 18; 0,00; 960; 550; 552; 27,77; 4,05;
1032; 1052; 0,00; 18; 0,00; 940; 550; 551; 27,96; 4,05;
1132; 1148; 0,00; 18; 0,00; 951; 550; 552; 28,54; 4,07;
1233; 1244; 0,00; 18; 0,00; 946; 550; 551; 29,34; 4,15;
1332; 1340; 0,00; 18; 0,00; 958; 550; 551; 29,23; 4,66;
1432; 1451; 0,00; 18; 0,00; 945; 550; 551; 28,68; 4,74;
1532; 1547; 0,00; 18; 0,00; 944; 550; 551; 28,54; 4,63;
1633; 1643; 0,00; 18; 0,00; 948; 550; 551; 28,02; 4,56;
1733; 1739; 0,00; 18; 0,00; 948; 550; 552; 27,93; 4,44;
1832; 1851; 0,00; 18; 0,00; 942; 550; 551; 28,16; 4,38;
1933; 1947; 0,00; 18; 0,00; 935; 550; 552; 28,24; 4,08;
2033; 2043; 0,00; 18; 0,00; 919; 550; 550; 29,26; 4,09;
2133; 2139; 0,00; 18; 0,00; 936; 550; 552; 29,92; 4,08;
2233; 2251; 0,00; 18; 0,00; 929; 550; 552; 29,68; 4,09;
2332; 2347; 0,00; 18; 0,00; 918; 550; 552; 29,81; 4,08;
2433; 2443; 0,00; 18; 0,00; 916; 550; 551; 29,79; 4,11;
2533; 2539; 0,00; 18; 0,00; 911; 550; 552; 30,01; 4,11;
2633; 2651; 0,00; 18; 0,00; 913; 550; 552; 30,03; 4,15;
2733; 2747; 0,00; 18; 0,00; 906; 550; 551; 30,26; 4,16;
2833; 2843; 0,00; 18; 0,00; 901; 550; 551; 30,12; 4,18;
2933; 2939; 0,00; 18; 0,00; 910; 550; 552; 30,56; 4,20;
3033; 3051; 0,00; 17; 0,00; 906; 550; 552; 30,53; 4,22;
3133; 3147; 0,00; 17; 0,00; 898; 550; 551; 30,45; 4,22;
3233; 3243; 0,00; 18; 0,00; 901; 550; 551; 30,45; 4,24;
3333; 3340; 0,00; 18; 0,00; 898; 550; 551; 31,00; 4,26;
3433; 3452; 0,00; 17; 0,00; 905; 550; 553; 31,00; 4,27;
3533; 3548; 0,00; 17; 0,00; 890; 550; 551; 30,28; 4,27;
3633; 3644; 0,00; 18; 0,00; 894; 550; 551; 29,81; 4,28;
