Monitoramento e Diagnóstico - ECU v2.0

Data: 04/06/2016
Hora: 11:47

Versão da aplicação: 2.6.5.0
Firmware Gerenciamento: 1.5.5
Firmware Sincronismo: 1.2.8
Firmware Comunicação: 1.3.1

Ensaio para identificação do sistema 'veículo+ECUv2'
Entrada u(t): Ref de Torque (pedal)
Saída y(t): Velocidade (km/h)
Taxa de amostragem (ms): 50
Tempo de medição (s): 40
Instante do degrau (s): 5
Amplitude do degrau: 35
Marcha Engatada: 2
Modo de operação: Normal
Temperatura do Motor: 90,93ºC

t0_Aquisicao(ms); tf_Aquisicao(ms); RefTorque; Veloc(km/h); RefTorque (ECU); Rotacao; RefVB; VB; MAP(kPa); Tinj(ms);

33; 42; 0,00; 11; 0,00; 832; 550; 552; 32,02; 4,32;
83; 90; 0,00; 11; 0,00; 838; 550; 552; 31,00; 4,32;
133; 154; 0,00; 11; 0,00; 838; 550; 550; 32,55; 4,34;
183; 202; 0,00; 11; 0,00; 845; 550; 550; 31,72; 4,32;
233; 250; 0,00; 11; 0,00; 837; 550; 551; 31,22; 4,32;
283; 298; 0,00; 11; 0,00; 837; 550; 551; 32,83; 4,35;
333; 346; 0,00; 11; 0,00; 841; 550; 551; 31,25; 4,31;
383; 394; 0,00; 11; 0,00; 834; 550; 552; 32,02; 4,31;
433; 442; 0,00; 11; 0,00; 834; 550; 552; 32,30; 4,33;
483; 490; 0,00; 11; 0,00; 841; 550; 551; 31,22; 4,32;
533; 553; 0,00; 11; 0,00; 832; 550; 552; 32,74; 4,32;
583; 601; 0,00; 11; 0,00; 832; 550; 551; 31,83; 4,32;
633; 650; 0,00; 11; 0,00; 839; 550; 551; 31,25; 4,33;
683; 697; 0,00; 11; 0,00; 835; 550; 551; 33,05; 4,32;
733; 746; 0,00; 11; 0,00; 835; 550; 551; 31,47; 4,32;
783; 794; 0,00; 11; 0,00; 835; 550; 551; 32,05; 4,33;
833; 842; 0,00; 11; 0,00; 838; 550; 551; 32,16; 4,35;
883; 889; 0,00; 11; 0,00; 833; 550; 551; 31,31; 4,35;
933; 954; 0,00; 11; 0,00; 833; 550; 551; 32,80; 4,36;
983; 1002; 0,00; 11; 0,00; 839; 550; 552; 32,02; 4,36;
1033; 1052; 0,00; 11; 0,00; 841; 550; 551; 31,33; 4,36;
1083; 1100; 0,00; 11; 0,00; 841; 550; 551; 33,05; 4,35;
1133; 1148; 0,00; 11; 0,00; 834; 550; 551; 31,36; 4,36;
1183; 1196; 0,00; 11; 0,00; 838; 550; 552; 32,00; 4,36;
1233; 1244; 0,00; 11; 0,00; 838; 550; 554; 32,33; 4,33;
1283; 1292; 0,00; 11; 0,00; 833; 550; 552; 31,44; 4,33;
1333; 1340; 0,00; 11; 0,00; 835; 550; 552; 33,07; 4,33;
1383; 1388; 0,00; 11; 0,00; 835; 550; 552; 32,00; 4,33;
1433; 1452; 0,00; 11; 0,00; 841; 550; 551; 31,22; 4,33;
1483; 1500; 0,00; 11; 0,00; 836; 550; 551; 33,02; 4,33;
1533; 1548; 0,00; 11; 0,00; 836; 550; 552; 31,44; 4,33;
1583; 1596; 0,00; 11; 0,00; 839; 550; 550; 32,11; 4,33;
1633; 1644; 0,00; 11; 0,00; 840; 550; 551; 32,16; 4,32;
1683; 1692; 0,00; 11; 0,00; 836; 550; 551; 31,22; 4,32;
1733; 1740; 0,00; 11; 0,00; 836; 550; 551; 32,66; 4,33;
1783; 1788; 0,00; 11; 0,00; 842; 550; 551; 31,83; 4,31;
1833; 1852; 0,00; 11; 0,00; 833; 550; 551; 31,31; 4,31;
1883; 1900; 0,00; 11; 0,00; 833; 550; 552; 32,96; 4,33;
1933; 1948; 0,00; 11; 0,00; 841; 550; 552; 31,33; 4,33;
1983; 2001; 0,00; 11; 0,00; 836; 550; 550; 32,00; 4,33;
2033; 2051; 0,00; 11; 0,00; 836; 550; 549; 32,36; 4,33;
2083; 2099; 0,00; 11; 0,00; 843; 550; 552; 31,25; 4,33;
2133; 2147; 0,00; 11; 0,00; 837; 550; 551; 32,66; 4,33;
2183; 2195; 0,00; 11; 0,00; 837; 550; 552; 31,61; 4,33;
2233; 2243; 0,00; 11; 0,00; 844; 550; 548; 31,44; 4,33;
2283; 2291; 0,00; 11; 0,00; 841; 550; 552; 32,99; 4,33;
2333; 2339; 0,00; 11; 0,00; 844; 550; 551; 31,25; 4,33;
2383; 2403; 0,00; 11; 0,00; 844; 550; 552; 32,77; 4,34;
2433; 2451; 0,00; 11; 0,00; 840; 550; 552; 32,08; 4,34;
2483; 2499; 0,00; 11; 0,00; 840; 550; 552; 31,00; 4,34;
2533; 2551; 0,00; 11; 0,00; 840; 550; 552; 32,83; 4,34;
2583; 2599; 0,00; 11; 0,00; 842; 550; 552; 31,11; 4,34;
2633; 2647; 0,00; 11; 0,00; 843; 550; 554; 31,66; 4,34;
2683; 2695; 0,00; 11; 0,00; 843; 550; 552; 32,11; 4,32;
2733; 2743; 0,00; 11; 0,00; 844; 550; 551; 31,22; 4,34;
2783; 2791; 0,00; 11; 0,00; 844; 550; 551; 32,55; 4,33;
2833; 2839; 0,00; 11; 0,00; 844; 550; 551; 31,55; 4,33;
2883; 2903; 0,00; 11; 0,00; 842; 550; 551; 31,06; 4,33;
2933; 2951; 0,00; 11; 0,00; 836; 550; 551; 32,80; 4,31;
2983; 2999; 0,00; 11; 0,00; 844; 550; 549; 31,25; 4,31;
3033; 3047; 0,00; 11; 0,00; 844; 550; 552; 32,55; 4,31;
3083; 3095; 0,00; 11; 0,00; 837; 550; 551; 31,94; 4,31;
3133; 3143; 0,00; 11; 0,00; 847; 550; 552; 30,89; 4,31;
3183; 3191; 0,00; 11; 0,00; 847; 550; 551; 32,80; 4,29;
3233; 3239; 0,00; 11; 0,00; 839; 550; 551; 31,14; 4,30;
3283; 3303; 0,00; 11; 0,00; 840; 550; 551; 31,47; 4,30;
3333; 3351; 0,00; 11; 0,00; 840; 550; 550; 32,11; 4,31;
3383; 3399; 0,00; 11; 0,00; 842; 550; 551; 31,06; 4,31;
3433; 3447; 0,00; 11; 0,00; 835; 550; 551; 32,88; 4,33;
3483; 3494; 0,00; 11; 0,00; 835; 550; 551; 31,80; 4,33;
3533; 3542; 0,00; 11; 0,00; 836; 550; 552; 30,97; 4,34;
3583; 3591; 0,00; 11; 0,00; 839; 550; 552; 32,77; 4,35;
3633; 3639; 0,00; 11; 0,00; 839; 550; 551; 31,14; 4,35;
3683; 3702; 0,00; 11; 0,00; 837; 550; 551; 31,69; 4,34;
3733; 3750; 0,00; 11; 0,00; 831; 550; 551; 32,36; 4,36;
3783; 3798; 0,00; 11; 0,00; 838; 550; 548; 31,22; 4,36;
3833; 3846; 0,00; 11; 0,00; 838; 550; 552; 32,88; 4,36;
3883; 3894; 0,00; 11; 0,00; 827; 550; 551; 32,11; 4,33;
3933; 3942; 0,00; 11; 0,00; 838; 550; 551; 31,11; 4,33;
3983; 3990; 0,00; 11; 0,00; 838; 550; 551; 32,91; 4,33;
4033; 4038; 0,00; 11; 0,00; 833; 550; 552; 31,36; 4,35;
4083; 4102; 0,00; 11; 0,00; 837; 550; 551; 31,69; 4,35;
4133; 4150; 0,00; 11; 0,00; 837; 550; 549; 32,77; 4,35;
4183; 4198; 0,00; 11; 0,00; 835; 550; 551; 31,44; 4,37;
4234; 4246; 0,00; 11; 0,00; 831; 550; 551; 33,02; 4,36;
4284; 4294; 0,00; 11; 0,00; 831; 550; 552; 32,30; 4,36;
4333; 4342; 0,00; 11; 0,00; 839; 550; 551; 31,11; 4,35;
4383; 4390; 0,00; 11; 0,00; 835; 550; 551; 32,94; 4,34;
4433; 4454; 0,00; 11; 0,00; 835; 550; 551; 31,47; 4,34;
4483; 4502; 0,00; 11; 0,00; 835; 550; 551; 31,69; 4,34;
4533; 4550; 0,00; 11; 0,00; 837; 550; 550; 33,02; 4,34;
4583; 4598; 0,00; 11; 0,00; 839; 550; 552; 31,36; 4,34;
4633; 4646; 0,00; 11; 0,00; 839; 550; 552; 32,96; 4,36;
4683; 4694; 0,00; 11; 0,00; 835; 550; 551; 32,36; 4,36;
4733; 4742; 0,00; 11; 0,00; 841; 550; 552; 31,20; 4,36;
4783; 4790; 0,00; 11; 0,00; 841; 550; 552; 32,99; 4,36;
4833; 4854; 0,00; 11; 0,00; 838; 550; 551; 31,39; 4,36;
4883; 4902; 0,00; 11; 0,00; 837; 550; 551; 31,55; 4,36;
4933; 4950; 0,00; 11; 0,00; 837; 550; 551; 32,44; 4,36;
4983; 4998; 0,00; 11; 0,00; 839; 550; 550; 31,25; 4,33;
5033; 5046; 35,00; 11; 34,90; 838; 558; 551; 33,02; 4,33;
5083; 5094; 35,00; 11; 34,90; 838; 599; 559; 32,05; 4,33;
5133; 5142; 35,00; 11; 34,90; 838; 641; 637; 33,63; 4,95;
5183; 5190; 35,00; 11; 34,90; 840; 683; 639; 38,88; 5,64;
5233; 5254; 35,00; 11; 34,90; 840; 724; 671; 40,06; 5,64;
5283; 5304; 35,00; 11; 34,90; 857; 766; 686; 45,37; 6,34;
5334; 5352; 35,00; 11; 34,90; 877; 808; 714; 48,91; 7,22;
5383; 5400; 35,00; 11; 34,90; 899; 849; 788; 54,43; 7,22;
5433; 5448; 35,00; 11; 34,90; 899; 937; 864; 63,91; 8,38;
5483; 5496; 35,00; 11; 34,90; 939; 937; 944; 73,91; 10,10;
5533; 5544; 35,00; 11; 34,90; 987; 937; 927; 77,86; 11,95;
5583; 5592; 35,00; 13; 34,90; 1052; 937; 928; 81,65; 12,50;
5633; 5640; 35,00; 13; 34,90; 1109; 937; 926; 80,07; 12,50;
5683; 5704; 35,00; 14; 34,90; 1174; 937; 924; 78,66; 12,54;
5733; 5752; 35,00; 14; 34,90; 1224; 937; 924; 77,83; 12,47;
5783; 5800; 35,00; 15; 34,90; 1294; 937; 924; 77,34; 12,39;
5833; 5847; 35,00; 17; 34,90; 1352; 937; 928; 78,53; 12,14;
5883; 5895; 35,00; 18; 34,90; 1409; 937; 932; 76,76; 12,02;
5933; 5944; 35,00; 18; 34,90; 1455; 937; 931; 73,50; 11,85;
5983; 5991; 35,00; 19; 34,90; 1512; 937; 935; 75,24; 11,70;
6033; 6039; 35,00; 21; 34,90; 1605; 937; 935; 72,14; 11,61;
6083; 6103; 35,00; 21; 34,90; 1649; 937; 937; 71,20; 11,40;
6133; 6151; 35,00; 23; 34,90; 1693; 937; 936; 70,98; 11,33;
6183; 6201; 35,00; 23; 34,90; 1777; 937; 936; 70,98; 11,14;
6233; 6249; 35,00; 25; 34,90; 1810; 937; 936; 70,13; 11,05;
6284; 6302; 35,00; 26; 34,90; 1878; 937; 939; 68,19; 10,85;
6334; 6352; 35,00; 26; 34,90; 1944; 937; 935; 66,62; 10,74;
6383; 6400; 35,00; 27; 34,90; 1981; 937; 938; 65,59; 10,54;
